advNo,tradeType,priceFloatingRatio,rateFloatingRatio,price,initAmount,surplusAmount,tradableQuantity,amountAfterEditing,maxSingleTransAmount,minSingleTransAmount,remarks
12851866597990162432,BUY,100.00000000,0.00000000,6897325.23,200.00000000,199.96681727,199.96681727,200.00000000,37500000,10000,"🔹We will deduct and pay 1% TDS (Tax Deducted at Source) under Section 194S of the Income Tax Act on your PAN card. 

🔹The payment amount will be net of the deducted TDS (1% of the total payment). 

🔹Payment will be processed only after sharing your PAN number. 

🔹Your PAN Card Name, Binance Account KYC Name, and Name on Bank or UPI should match. We will not process any third-party payments.

🔹You will receive the payment within 10 seconds.

🔹 Never reverse the payment to the UPI ID from which you received the payment; in such a case, we will not be responsible for any financial loss. 

🔹The TDS certificate (Form 16A) can only be shared after the next month of the quarter-end.

🔹TDS will be deposited to your PAN card after the quarter ends."
12851866335199690752,BUY,99.00000000,0.00000000,6828351.98,200.00000000,199.97892054,199.97892054,200.00000000,37500000,10000,"🔹We will deduct and pay 1% TDS (Tax Deducted at Source) under Section 194S of the Income Tax Act on your PAN card. 

🔹The payment amount will be net of the deducted TDS (1% of the total payment). 

🔹Payment will be processed only after sharing your PAN number. 

🔹Your PAN Card Name, Binance Account KYC Name, and Name on Bank or UPI should match. We will not process any third-party payments.

🔹You will receive the payment within 10 seconds.

🔹 Never reverse the payment to the UPI ID from which you received the payment; in such a case, we will not be responsible for any financial loss. 

🔹The TDS certificate (Form 16A) can only be shared after the next month of the quarter-end.

🔹TDS will be deposited to your PAN card after the quarter ends."
12836070722773999616,BUY,98.50000000,0.00000000,6802486.90,200.00000000,199.28780718,199.28780718,200.00000000,37500000,10000,"🔹We will deduct and pay 1% TDS (Tax Deducted at Source) under Section 194S of the Income Tax Act on your PAN card. 

🔹The payment amount will be net of the deducted TDS (1% of the total payment). 

🔹Payment will be processed only after sharing your PAN number. 

🔹Your PAN Card Name, Binance Account KYC Name, and Name on Bank or UPI should match. We will not process any third-party payments.

🔹You will receive the payment within 10 seconds.

🔹 Never reverse the payment to the UPI ID from which you received the payment; in such a case, we will not be responsible for any financial loss. 

🔹The TDS certificate (Form 16A) can only be shared after the next month of the quarter-end.

🔹TDS will be deposited to your PAN card after the quarter ends."
12796935111733370880,BUY,97.00000000,0.00000000,6698895.73,200.00000000,199.74440427,199.74440427,200.00000000,75000000,75000,"🔹We will deduct and pay 1% TDS (Tax Deducted at Source) under Section 194S of the Income Tax Act on your PAN card. 

🔹The payment amount will be net of the deducted TDS (1% of the total payment). 

🔹Payment will be processed only after sharing your PAN number. 

🔹Your PAN Card Name, Binance Account KYC Name, and Name on Bank or UPI should match. We will not process any third-party payments.

🔹You will receive the payment within 10 seconds.

🔹 Never reverse the payment to the UPI ID from which you received the payment; in such a case, we will not be responsible for any financial loss. 

🔹The TDS certificate (Form 16A) can only be shared after the next month of the quarter-end.

🔹TDS will be deposited to your PAN card after the quarter ends."
12843232487880761344,BUY,97.50000000,0.00000000,199413.62,5001.54747997,4999.44845581,4999.44845581,5000.00000000,37500000,10000,"🔹We will deduct and pay 1% TDS (Tax Deducted at Source) under Section 194S of the Income Tax Act on your PAN card. 

🔹The payment amount will be net of the deducted TDS (1% of the total payment). 

🔹Payment will be processed only after sharing your PAN number. 

🔹Your PAN Card Name, Binance Account KYC Name, and Name on Bank or UPI should match. We will not process any third-party payments.

🔹You will receive the payment within 10 seconds.

🔹 Never reverse the payment to the UPI ID from which you received the payment; in such a case, we will not be responsible for any financial loss. 

🔹The TDS certificate (Form 16A) can only be shared after the next month of the quarter-end.

🔹TDS will be deposited to your PAN card after the quarter ends."
12796937737284800512,BUY,97.00000000,0.00000000,198390.98,5000.00000000,4999.73000000,4999.73000000,5000.00000000,75000000,75000,"🔹We will deduct and pay 1% TDS (Tax Deducted at Source) under Section 194S of the Income Tax Act on your PAN card. 

🔹The payment amount will be net of the deducted TDS (1% of the total payment). 

🔹Payment will be processed only after sharing your PAN number. 

🔹Your PAN Card Name, Binance Account KYC Name, and Name on Bank or UPI should match. We will not process any third-party payments.

🔹You will receive the payment within 10 seconds.

🔹 Never reverse the payment to the UPI ID from which you received the payment; in such a case, we will not be responsible for any financial loss. 

🔹The TDS certificate (Form 16A) can only be shared after the next month of the quarter-end.

🔹TDS will be deposited to your PAN card after the quarter ends."
12843236948090294272,BUY,97.50000000,0.00000000,66730.18,50000.00000000,49979.41969028,49979.41969028,50000.00000000,37500000,10000,"🔹We will deduct and pay 1% TDS (Tax Deducted at Source) under Section 194S of the Income Tax Act on your PAN card. 

🔹The payment amount will be net of the deducted TDS (1% of the total payment). 

🔹Payment will be processed only after sharing your PAN number. 

🔹Your PAN Card Name, Binance Account KYC Name, and Name on Bank or UPI should match. We will not process any third-party payments.

🔹You will receive the payment within 10 seconds.

🔹 Never reverse the payment to the UPI ID from which you received the payment; in such a case, we will not be responsible for any financial loss. 

🔹The TDS certificate (Form 16A) can only be shared after the next month of the quarter-end.

🔹TDS will be deposited to your PAN card after the quarter ends."
12847957501340696576,BUY,97.00000000,0.00000000,66387.97,50000.00000000,49999.50050000,49999.50050000,50000.00000000,37500000,10000,"🔹We will deduct and pay 1% TDS (Tax Deducted at Source) under Section 194S of the Income Tax Act on your PAN card. 

🔹The payment amount will be net of the deducted TDS (1% of the total payment). 

🔹Payment will be processed only after sharing your PAN number. 

🔹Your PAN Card Name, Binance Account KYC Name, and Name on Bank or UPI should match. We will not process any third-party payments.

🔹You will receive the payment within 10 seconds.

🔹 Never reverse the payment to the UPI ID from which you received the payment; in such a case, we will not be responsible for any financial loss. 

🔹The TDS certificate (Form 16A) can only be shared after the next month of the quarter-end.

🔹TDS will be deposited to your PAN card after the quarter ends."
12796937215175741440,BUY,97.00000000,0.00000000,66387.97,50000.00000000,49994.63352212,49994.63352212,50000.00000000,75000000,75000,"🔹We will deduct and pay 1% TDS (Tax Deducted at Source) under Section 194S of the Income Tax Act on your PAN card. 

🔹The payment amount will be net of the deducted TDS (1% of the total payment). 

🔹Payment will be processed only after sharing your PAN number. 

🔹Your PAN Card Name, Binance Account KYC Name, and Name on Bank or UPI should match. We will not process any third-party payments.

🔹You will receive the payment within 10 seconds.

🔹 Never reverse the payment to the UPI ID from which you received the payment; in such a case, we will not be responsible for any financial loss. 

🔹The TDS certificate (Form 16A) can only be shared after the next month of the quarter-end.

🔹TDS will be deposited to your PAN card after the quarter ends."
12847957888533499904,BUY,96.50000000,0.00000000,66045.76,50000.00000000,49999.37348522,49999.37348522,50000.00000000,37500000,10000,"🔹We will deduct and pay 1% TDS (Tax Deducted at Source) under Section 194S of the Income Tax Act on your PAN card. 

🔹The payment amount will be net of the deducted TDS (1% of the total payment). 

🔹Payment will be processed only after sharing your PAN number. 

🔹Your PAN Card Name, Binance Account KYC Name, and Name on Bank or UPI should match. We will not process any third-party payments.

🔹You will receive the payment within 10 seconds.

🔹 Never reverse the payment to the UPI ID from which you received the payment; in such a case, we will not be responsible for any financial loss. 

🔹The TDS certificate (Form 16A) can only be shared after the next month of the quarter-end.

🔹TDS will be deposited to your PAN card after the quarter ends."
